sp_song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,release_date,popularity
6edQfeOlqbGteYixpJl3Sm,0.857,0.602,10,-8.311,1,0.029,0.489,0.0244,0.317,0.957,105.157,239627,1999-03-01,48
5Oe7wHPL4hdEXeF4AOayCi,0.322,0.99,8,-1.785,1,0.171,4.36e-05,0.417,0.0366,0.146,104.678,210867,2006-01-01,44
6i1uWZYWabNHq2wQnoca58,0.666,0.884,9,-5.243,0,0.0429,0.506,0.00612,0.0408,0.754,92.005,298573,1989,54
4BzBtS6PBreni5hNPo2hos,0.609,0.578,9,-7.081,1,0.0414,0.296,0.0,0.15,0.343,123.925,233947,2006,19
0GvhHQbWSnGltjl0je61dI,0.699,0.514,4,-12.61,1,0.0315,0.587,0.029,0.22,0.63,120.758,144947,1959-01-23,53
6O7EzXOn357WgLAtmvgQf7,0.299,0.732,5,-10.153,1,0.0518,0.0113,2.06e-06,0.0829,0.143,110.311,363267,1990-02-27,19
3aBmJTZu5qHBKGORCq0V5K,0.564,0.856,1,-4.443,1,0.0364,0.207,0.00039,0.173,0.923,109.149,230827,1977,34
6gHxKXy1f3QinBJQngJ2iN,0.24,0.968,0,-3.669,0,0.109,0.000996,0.000106,0.119,0.119,89.686,297947,2008-01-28,49
32I2RrdW8fNV8wsga26PFt,0.787,0.783,10,-4.135,1,0.0435,0.209,2.18e-06,0.0357,0.875,115.474,330827,1996,23
73etijhz7pV4Wx7GTANLpq,0.332,0.371,4,-9.884,1,0.0396,0.729,0.00021,0.176,0.375,173.273,249093,2002,51
2EZc13S7YRi6bTS3SKteRN,0.72,0.391,2,-16.595,1,0.0342,0.163,8.29e-05,0.046,0.786,120.794,187227,1969-01-05,62
79pY2Z5eFvXMt9bSdHLrnA,0.323,0.728,7,-5.416,1,0.0321,0.00394,0.000447,0.102,0.489,161.586,215333,2002-11-08,59
5x9RZg7HfXGY3JayXL3seF,0.511,0.517,8,-9.653,1,0.0328,0.13,0.0,0.074,0.433,75.67,241893,1992-01-01,64
2VBSOgBcnLHkfat8P2VGvf,0.788,0.748,9,-5.439,1,0.0344,0.419,0.0,0.0638,0.608,119.781,233916,1998-01-27,52
4y1vMFRC4T2P43ovfvOor7,0.565,0.695,0,-10.21,1,0.0803,0.637,0.000401,0.256,0.951,97.246,279760,1974-01-01,39
2WpmMlS6Tr01C7UNFjQI3U,0.601,0.676,0,-7.933,0,0.0266,0.469,2.43e-05,0.105,0.661,85.455,263467,1999-04-19,50
2nUy0ifVE7UwtOK4rugFsP,0.469,0.976,0,-3.569,0,0.111,0.000287,0.217,0.0636,0.222,124.001,298107,2004-05-03,62
5glmepcujdxktDp1mo6uQV,0.133,0.884,0,-7.043,1,0.11,1.83e-05,0.153,0.333,0.238,81.486,216000,2001-01-05,21
2ccUQnjjNWT0rsNnsBpsCA,0.524,0.955,0,-7.081,1,0.0411,0.00717,8.77e-06,0.659,0.869,133.849,253733,1978-04,70
4iiLzvbh0bXMnomiB6DIuk,0.753,0.469,2,-11.64,1,0.0339,0.535,0.0,0.29,0.838,120.918,164440,1976,53
1vpwWCCXYYMAaRMTfsnDpk,0.487,0.449,5,-6.485,0,0.0645,0.704,0.0,0.116,0.226,122.784,242720,2007-01-01,42
6tunhVGD8C05MZNjSVIsjw,0.626,0.565,9,-10.027,1,0.0271,0.124,0.0,0.0811,0.924,116.61,233507,1972-08-16,64
44zDLad2CZrhWg2lg9nfuy,0.645,0.649,10,-8.345,0,0.031,0.253,0.0,0.107,0.567,133.652,132400,1965,44
