sp_song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,release_date,popularity,lda_topic_0,lda_topic_1,lda_topic_2,lda_topic_3,lda_topic_4,lda_topic_5,lda_topic_6,lda_topic_7,lda_topic_8,lda_topic_9,lda_topic_10,lda_topic_11,lda_topic_12,lda_topic_13,lda_topic_14,lda_topic_15,lda_topic_16,lda_topic_17,lda_topic_18,lda_topic_19,Playlists
6edQfeOlqbGteYixpJl3Sm,0.857,0.602,10,-8.311,1,0.029,0.489,0.0244,0.317,0.957,105.157,239627,3/1/1999,48,0.0,0.0,0.08313827961683272,0.0,0.0,0.0,0.0,0.0,0.0,0.2957790493965149,0.0,0.0,0.022993091493844986,0.0,0.12207801640033722,0.0,0.0,0.0,0.08110793679952621,0.3860418498516083,[165]
5Oe7wHPL4hdEXeF4AOayCi,0.322,0.99,8,-1.785,1,0.171,4.36e-05,0.417,0.0366,0.146,104.678,210867,1/1/2006,44,0.0,0.0,0.0,0.0,0.0,0.0,0.4757331311702728,0.0,0.0,0.0,0.0,0.0,0.0,0.16314229369163513,0.02299928851425648,0.0,0.1446143239736557,0.1872069537639618,0.0,0.0,[79]
6i1uWZYWabNHq2wQnoca58,0.6659999999999999,0.884,9,-5.2429999999999986,0,0.0429,0.506,0.00612,0.0408,0.754,92.005,298573,1989,54,0.0,0.0,0.07260968536138535,0.0,0.0,0.0,0.0,0.0,0.0,0.3358141481876373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5821305513381958,[15]
4BzBtS6PBreni5hNPo2hos,0.609,0.578,9,-7.081,1,0.0414,0.29600000000000004,0.0,0.15,0.343,123.925,233947,2006,19,0.0,0.0,0.0,0.16338582336902618,0.0,0.0,0.0,0.0,0.0,0.011379226110875608,0.0,0.0,0.0,0.5117160677909851,0.08490484207868576,0.0,0.0,0.0,0.11500350385904312,0.10814035683870317,[168]
0GvhHQbWSnGltjl0je61dI,0.6990000000000001,0.514,4,-12.61,1,0.0315,0.5870000000000001,0.029,0.22,0.63,120.758,144947,1/23/1959,53,0.011739428155124187,0.0,0.2825654745101929,0.0,0.0,0.0,0.0,0.0,0.0,0.29179951548576355,0.0,0.0,0.0,0.0,0.4019539654254913,0.0,0.0,0.0,0.0,0.0,"[30, 133]"
6O7EzXOn357WgLAtmvgQf7,0.299,0.732,5,-10.153,1,0.0518,0.0113,2.06e-06,0.0829,0.14300000000000002,110.311,363267,2/27/1990,19,0.0,0.0,0.0,0.0,0.0,0.0,0.5828947424888611,0.0,0.0,0.0,0.0,0.0,0.0,0.2900653183460236,0.0,0.0,0.0,0.0,0.11878624558448793,0.0,[83]
3aBmJTZu5qHBKGORCq0V5K,0.564,0.856,1,-4.4430000000000005,1,0.0364,0.207,0.00039,0.173,0.923,109.149,230827,1977,34,0.06197842955589295,0.0,0.0,0.06697481125593185,0.0,0.0,0.0,0.0,0.0,0.05133878812193871,0.0,0.0,0.01628536731004715,0.0,0.0,0.5288882255554199,0.0,0.0,0.2624640762805939,0.0,[42]
6gHxKXy1f3QinBJQngJ2iN,0.24,0.968,0,-3.669,0,0.109,0.000996,0.000106,0.119,0.119,89.686,297947,1/28/2008,49,0.0,0.0,0.0,0.2076149880886078,0.0,0.0,0.52959144115448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25279200077056885,[81]
32I2RrdW8fNV8wsga26PFt,0.787,0.7829999999999999,10,-4.135,1,0.0435,0.209,2.18e-06,0.0357,0.875,115.474,330827,1996,23,0.0,0.0,0.0,0.0,0.0,0.0,0.04502654820680618,0.0,0.0,0.031626403331756585,0.0,0.13830377161502838,0.0,0.0,0.0,0.3100249767303467,0.0,0.0,0.0,0.4692919254302978,[121]
73etijhz7pV4Wx7GTANLpq,0.332,0.371,4,-9.884,1,0.0396,0.7290000000000001,0.00021,0.17600000000000002,0.375,173.273,249093,2002,51,0.0,0.0,0.03582669794559479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17365986108779907,0.08828134089708327,0.1831151247024536,0.5117633342742921,"[68, 116, 123, 149, 159, 163]"
2EZc13S7YRi6bTS3SKteRN,0.72,0.391,2,-16.595,1,0.0342,0.163,8.290000000000001e-05,0.046,0.7859999999999999,120.794,187227,1/5/1969,62,0.038566868752241135,0.4217509925365448,0.0447491966187954,0.0,0.0,0.0,0.0,0.0,0.0,0.24349091947078705,0.0,0.0,0.0,0.0,0.0,0.0,0.24337570369243625,0.0,0.0,0.0,[118]
79pY2Z5eFvXMt9bSdHLrnA,0.32299999999999995,0.728,7,-5.416,1,0.0321,0.00394,0.000447,0.102,0.489,161.586,215333,11/8/2002,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01858730986714363,0.0,0.12590813636779785,0.0,0.26935049891471863,0.0,0.07508790493011475,0.04698145389556885,0.0,0.4555435478687286,0.0,[46]
5x9RZg7HfXGY3JayXL3seF,0.511,0.517,8,-9.653,1,0.0328,0.13,0.0,0.07400000000000001,0.433,75.67,241893,1/1/1992,64,0.0,0.0,0.04424119368195534,0.5467801094055176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.145668163895607,0.0,0.0,0.042056024074554436,0.2155708521604538,0.0,0.0,0.0,0.0,"[44, 62, 78, 80, 132]"
2VBSOgBcnLHkfat8P2VGvf,0.7879999999999999,0.748,9,-5.439,1,0.0344,0.419,0.0,0.0638,0.608,119.781,233916,1/27/1998,52,0.0,0.0,0.0530160553753376,0.0,0.0,0.0,0.0,0.0,0.0,0.20422010123729706,0.0,0.0,0.0,0.0,0.02992426417768002,0.2016589343547821,0.016881193965673447,0.0,0.06887446343898773,0.4194597601890564,[59]
4y1vMFRC4T2P43ovfvOor7,0.565,0.695,0,-10.21,1,0.0803,0.637,0.000401,0.256,0.951,97.246,279760,1/1/1974,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2447798401117325,0.0,0.0,0.05636671558022499,0.09819314628839493,0.0,0.1759473830461502,0.0,0.0,0.0,0.4144371151924133,[159]
2WpmMlS6Tr01C7UNFjQI3U,0.601,0.6759999999999999,0,-7.933,0,0.0266,0.469,2.43e-05,0.105,0.6609999999999999,85.455,263467,4/19/1999,50,0.14032356441020966,0.0,0.0,0.3536846339702606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26677292585372925,0.0,0.0,0.03464342653751373,0.0,0.09148120135068892,0.0,0.10700606554746628,0.0,[30]
2nUy0ifVE7UwtOK4rugFsP,0.469,0.976,0,-3.569,0,0.111,0.00028700000000000004,0.217,0.0636,0.222,124.001,298107,5/3/2004,62,0.0,0.0,0.0,0.0,0.0,0.0,0.5114715695381165,0.0,0.0,0.0,0.0,0.0,0.03516186773777008,0.268443375825882,0.0,0.0,0.0,0.0,0.0,0.17453230917453766,"[37, 76, 77, 79, 81]"
5glmepcujdxktDp1mo6uQV,0.133,0.884,0,-7.042999999999998,1,0.11,1.83e-05,0.153,0.333,0.238,81.486,216000,1/5/2001,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2748079001903534,0.0,0.0,0.0,0.0,0.7051886916160583,0.0,[37]
2ccUQnjjNWT0rsNnsBpsCA,0.524,0.955,0,-7.081,1,0.0411,0.00717,8.77e-06,0.659,0.8690000000000001,133.849,253733,1978-04,70,0.0,0.0,0.06140094995498657,0.18213924765586853,0.0,0.0,0.0,0.04290806874632835,0.0,0.0,0.0,0.0,0.10598334670066832,0.0,0.24590922892093656,0.12998294830322266,0.055385638028383255,0.0,0.1701025366783142,0.0,"[8, 30, 41, 66, 104, 125, 128, 131]"
