"ARTIST_NAME","ARTIST_URL","SONG_NAME","SONG_URL","LYRICS"
"i-20","https://www.azlyrics.com/i/i20.html","eyes open (intro)","https://www.azlyrics.com/lyrics/i20/eyesopenintro.html","ahora los ojos, open your eyes, open your eyes, its time to get lost in my music you get lost don't confuse it, i was born for this shit so i never had to choose it, i would kill for the chance to get on you get off, i'm not sayin that i'm hard i'm just sayin you soft, the world wanna know my past if i'm real or if i'm not, did i really play the trap have i ever dealt a rock, is he really from the block where's the wounds that he got, it take a man to do the shootin anyone can get shot, so fuck the fact i had to grind or the fact that i did time, i should only be defined by the fact that i can rhyme, so i really ain't concerned if i seem street to em, half the niggaz my niggaz like i don't even speak to em, so i spit that fly shit becuz i'm in it to last, and you ain't got enough style miles to be in my class, so before you cast your ballots on who's the greatest mc, now that jordan done retired and lebron's in the league, you gon have to mention me and believe me it hurts, its y'all that never paid attention to my previous work, but ain't no need bitchin i done captured your attention, its a race to the top and i will go the distance, in the south's top label and the worlds our agenda, we give a fuck how we live just as long as you remember, hear that hunger in my voice and that pain that i carry, but you can't admit you feel me til i'm dead and i'm buried, that's the worst part man cuz believe me i'm a fan, if it only is a demo well we did a million scans"
"i-20","https://www.azlyrics.com/i/i20.html","meet the dealer","https://www.azlyrics.com/lyrics/i20/meetthedealer.html",", yeah he go by the name of i dub straight from scottsdale where the rock sell, and we disturbing tha peace for 4 years strong and still just gettin started whaddup?, cuz when it come to this money i'm the main receiver, snatch yo bitch then i aim to please her, laid back puffin on a pound of that cheeba, while i'm listenin to the sounds of the dealer, yeah we gettin droed out so bring them hoes out, she tryna hold out then she can roll out, i'm spittin game folk she love my name folk, she love the fame folk she wanna claim folk, i'm tryna get blown she tryna get known, i'm drankin hennessey she off that patrone, we takin shots now she love my rocks now, it was a cold world but i'm on top now, yall on that weak shit that wan' beef shit, but i ain't rap dog i'm on that street shit, so we can get it started cuz i ain't never scared, before you call us out you better be prepared, i'm from that dec-town you'll get laid down, we used to bust techs we sprayin k's now, all you local niggaz y'all too underground, you keep ya mouth shut before you under ground, and to you pretty thugs i blow ya chest up, while you dressed up my niggaz vest up, be on that block shit bust ya glock shit, yall just a bunch of hoes that love to gossip, i won't waste lines i won't waste rhymes, on you hoe niggaz tryna get signed, i feel ya pain dog let me be clear, you tryna get a rep but you won't get it here, i was a unknown now i'm full blown, i had no threads now the block's on, i changed my whole life in like 3 years, i lost a few friends shed a few tears, but that's the cost dog to be da boss dog, if i'm on dog you get off dog, and its no problem getcha small starch, off in this rap game i got no comp, i'm on them 2-4's i'm in that new range, yeah its the same shit but its a new game, yall ain't real man stop that grill man, you might get killed man so here's the deal man,"
"i-20","https://www.azlyrics.com/i/i20.html","fightin' in the club","https://www.azlyrics.com/lyrics/i20/fightinintheclub.html",", yeah yeah, yeah, yeah hey, hey, hey, hey, yeah yeah, yeah yeah, yeah yeah, they fightin in tha club, repeat 2x], they thugged out, so clear tha club out, niggas get drugged out, yeah dealem bitch recognize im back up on my grind hoe, niggas talkin this and that and wonder what i sound hoe, oh now you hatin dtp cause we got tha game sold, botton line you gotta problem then tell it to my 9 hoe, fuck ya boy he somebody, swing it till that nigga dead, chingy make a chicken head, tell that chick to give me head, you can die tonight hoe, get a pill roll on, feezy where them hoes at, tity all the dro gone, d my sista stunnem man i hope that i'll support her, you can tell my niece call her i will die for her father, i-20 is a street nigga better recognize we aint gotta go our sides, we can doit it in tha filth, repeat 2x], they thugged out, so clear tha club out, niggas get drugged out, now you can catch me in tha dndnc them boys throwin up they thumbs, north north won this bitch nigga where you from, southside eastside westside there reclyin, boys throwin signs 'bout to start a fuckin riot, bangin,niggas real gangstas in tha m-town, but im from the "a" so this is the type of shit i been round, nigga yeah fuck yall niggas ya niggas wankstas, they got his ass beat with bottles chairs and tables, repeat 2x], they thugged out, so clear tha club out, niggas get drugged out, it's a chair over there and a bottle to tha left, aint nobody playing fair ever man for themselve, when the push come to shove, shove come to push, you against us now us against you, all the buses came in 22's when the spre whole crew, and you probably gon run when the girls screamin "i thought i seen a gun", they yellin that they fightin in tha club, got people doing stunts got people rolling blunts, got people in the ring got people that have sense, you need to stay low till you get out this building, bursting everything even ya enemy, niggas swinging pool sticks niggas throwing pool balls, got niggas throwing bottles and got them throwing them all, i get locked up, i'mma get out tomorrow, they fightin in the club, its all our fault had to go to waste cause all us folks, we used everthing for all us quote they took everything from all us, folks my blue shirt and they all got tore, break pay for it we all got dough buckem bust buckem bust, they fightin in tha club, repeat 2x], they thugged out, so clear tha club out, niggas get drugged out, they fightin you fightin then get out tha spot, hey black creep out to the ride and get ya shit and pop, in fact i'm posted by the bar like tha hood star that i am, dont make me up my peace and turn ya brains into some jam, ya heard that nigga got scared ya scared bust his head with, a beer ya heard why you runnin over here to scared, fuck them blaze up that urb barlin parkin its like them tennis, so did i mention that dtp'll tear tha club up, bitch nigga whats up dont get fucked up we'll blow yo truck up, atlanta to st.louis they bangin gangs or not yeah, i bang a ak and it got a gang of shot dont get shot. im from tha block, repeat 2x], they thugged out, so clear tha club out, niggas get drugged out,"
"i-20","https://www.azlyrics.com/i/i20.html","the realist","https://www.azlyrics.com/lyrics/i20/therealist.html",", i'm the realest, the realest nigga, the realest nigga, i-20's in the building, set it off and get it cracking, i got something in the truck, to get the crunk and start the action, keep 'em popping, i'm a pop it, where ya crews at?, oh yeah you riding clean but nigga where ya shoes at?, i said i put this on my momma, ain't no hoe in me nigga, i keep it loaded just for drama, let it go in you nigga, and i ain't scared of none of y'all, talking gums with you white, yeah you packin', but you actin', shootin' nothing but dices, now, who the realest down south?, spittin game with that speech, these niggaz recognize my face and keep they name on the street, oh you been waitin', you been hatin', you can't breathe now, shit, we been cookin for a while, its time to eat now, you tell these ballin' muthafuckas that i'm blocking they dreams, i'm top five, dead or alive off one sixteen, and this twenty talking to you nigga neva forget, and since y'all a bunch of pussies, you about to get wet, bet, i'm the realest, the realest nigga, the realest nigga, it ain't easy, but i do it like its nothing to me, now everybody talking greasy but they frontin' to me, oh yeah you down to move a pound, where ya weight at, i got a deal just off a verse and niggaz hate that, after the show, pull ya hoe, make her leave with the clique, disrespect, cause an effect of pimpin' a trick, while you was on her, you was hoping, we would fold up and quit, we on tour, pullin whores every city wit hit, then that yak get the flowin', dj play the record, if you know you ain't swaggin, time to head for the exit, cuz i'm fiendin' for the top, i can taste that, i know you down to cut me shawty, where that face at?, don't ever play the dealer, nigga try and get smoked, my niggaz chop a brick in half and call that shit diet coke, and it's the hardest shit going, nigga leave it ain't that, i-20s in this bitch, and that shit is a wrap, lets go, i'm the realest, the realest nigga, the realest nigga, decatur, decatur, decatur, decatur, decatur, decatur, its time to dig into ya chest, i been waiting for a minute, know you heard about my vest, you can't wait to get up in it, if ya girl is into singing then its no prob, but i don't care if she can blow, i want a blow job, push the seat way back, while a pimp ride slow, with a short dog 'lac, gone off hydro, playboy 2-0, shoot a grand on a stripper, and she down to fuck us all, and give a damn if we tip her, cuz this the big league and you all street shooters, and ya shoots going go, so the heat's going through ya, if you ain't down to make a stand, you get laid down, that just the way these niggaz livin gin the a-town, throw ya side up high, let the people know you repping, any zone, any hood, any block, any section, i'm the streets first choice, when its come to who's realest, eastside, a-town, i-dub, you feel it, i'm the realest, the realest nigga, the realest nigga"
"i-20","https://www.azlyrics.com/i/i20.html","backstage","https://www.azlyrics.com/lyrics/i20/backstage.html",", yeah, adult hip hop 25 and older put your hands up, rich nice where you at baby? whoo!, i go by the name bobby bronson, yeah, this is disturbing tha peace, every now and then we switch it up, you know, mellow it out, i'm capable of that, you know, yeah, now you about to hear the sounds of down south hip hop, in my cl-vert with the top just dropped, some broad from backstage at the show i just rocked, but before i hit the room i make a quick pitstop, late night, buckhead, time to hit the bp, a new pack a switches and a box of mc's, got no time for playin hope the broad know well, the penthouse suite at the swiss hotel, it's the real after party if you tryna meet me, got anything to drink, i just need some i.d, if you know you ain't cutting it's gonna be a long walk, cause you came here for nothing if you think we gonna talk, backstage we chilling where the players are, the ladies hoping just to meet a star, and ain't telling what they gonna do, we been sitting on the couch for all the things we do, we'll only take you if you bad as hell, no disrespect if you look so well, its kind of crazy if you understand, so let's take advantage now, and keep these hoes in check, now i ain't tryna be rude but lets get this thing moving, if not keep it moving cause these other hoes choosing, if pussy was a drug i woulda been od'd, if you niggaz fucking dimes then my bitch is a key, pimp a dime, break a bitch, take the chick of the leash, so if niggaz wanna hit it you can rent it at least, sounds fucked up don't it, but it's part of the game, same women holla lover all caught up in fame, and the girls at 'cris concert be acting the worst, claiming they don't know a nigga but they rapping my verse, it's cool shawty, you ain't gotta know me to cut, cause if you know me then you probably know i'm ready to cut, love this ain't hip hop, this and this is all a little message, that our dressing room is really for undressing, you wanna talk to me, even date me at that, but the night still young baby later for that, you wanna know my real name, where i'm from, how to start, and me i'm just tryna get your legs spread apart, yo nigga told you that he love you and you fell right in, and now you see he never meant it and his car was just rented, here's a drink, take a shot, take a sip, here's a glass, use that backstage pass to give me backstage ass, see it ain't no disrespect if you know you too proud, so take this autograph and stay the fuck in the crowd, ], backstage the only place for you and me, then we head straight to the, there's no other place i'd rather be, between the sheets, backstage, get paid, get laid, ], yeah, the sounds of my man butch cassidy, i am the i-20, eastside to the fullest, it's all love it's all good, ya'know, 25 and over adult hip hop, yeah, butch cassidy, i-20 eastside"
"i-20","https://www.azlyrics.com/i/i20.html","break bread","https://www.azlyrics.com/lyrics/i20/breakbread.html","], i-20 nigga yeah, don't get skull drug fuck nigga, what, tell 'em tell 'em, heyyyyy i'm a maniac, go and tell the whole world mr. pain is back, so get them thangs out you betta lock up ya house, and tell the cops they let the animals out, break bread nigga, i-20 meet the dealer cuz i'm out on bail, i broke free and i ain't never goin back to jail, atl's eastside says i'm back from hell, reintroduced to my connect and i got sacks to sell, since i was young i broke bones usin sticks and stones, puttin bruises on you losers lames leave me alone, i'll be servin it for certain til the day that i die, you got that reggie for the low i got that fire for the high, niggaz travelin when they rappin but i feel like they actin, and i ain't talkin bout vacation if i say that i'm packin, hear that hunger in my voice and all the pain in my eyes, if this the only chance i get to you can bet i'mma ride, i got my back against the wall but my hand on my tool, cuz niggaz gotta give me somethin i got nothin to lose, a-town's new ruler throw ya side in the sky, yall niggaz lovin how ya livin but i'm ready to die, you niggaz settin up to get me better come wit that four, this 20 got magazines and i ain't talkin +the source+, mr. pain'll change the game by the time i'mma reign, i catch a charge like a flagrant foul deep in the lane, yall niggaz know where y'all can find me see i'm deep in the south, where niggaz put away they benz and pull they chevrolet out, yall niggaz cakin on these broads spend a stack on that bitch, i'll throw that ho right out the vip and throw some yak on that bitch, and as far as all this beefin y'all ain't worryin me, we the index so i'm body that's a story in me, if i say it then i meant it you can take it at that, yall been eatin off these streets and now i'm takin it back, yall won't see me sideways you get it live and direct, i-20 in the flesh i'm comin live from the dec, dtp i represent it see i'm more than a star, and if i'm fuckin witcha club i'm buyin more than the bar, - 4x], get back and putcha life on the line, get back and putcha life on the line, break bread nigga, i-20 is the shorts i be still takin aim, i'm the blocks head coach bitch i'm teachin the game, so i'm servin like i'm agassi venus or serena, i'm ridin wit a felony you duckin misdemeanors, and man i'm still hurtin and my mama's still workin, so i stay wit the glove and a mask like a servant, a-town's new ruler throw ya side in the sky, yall niggaz lovin how ya livin and i'm ready to die, ], tell 'em, tell 'em what, tell 'em, say what, get cha shit fucked up bitch nigga"
"ian van dahl","https://www.azlyrics.com/i/ianvandahl.html","reason","https://www.azlyrics.com/lyrics/ianvandahl/reason.html","i think it's time to talk with you. think it's time to realize. where is the love?, are we gonna stay together. or is it time to say goodbye?, where is the love?, give me a reason. to hold on to what we've got. must be a reason. to hold on to what we've got. time has come to set things right. is it worth another fight?, tell me the truth. is there something on your mind?, tell me what you hide inside. tell me the truth. are there things that i should know?, will you stay or will you go?, where is the love?, tell me. is there hope in sight?, gotta read between the lines. where is the love?,"
"ian van dahl","https://www.azlyrics.com/i/ianvandahl.html","after all","https://www.azlyrics.com/lyrics/ianvandahl/afterall.html","after all this time i'm thinking: "i want to know just what you feel for me.", after all this time i'm thinking: "you're gonna be the one who'll set me free.", i love you, i love you. i love you. i love you. can you hear me calling out your name?, i want your love. can you hear me calling out your name?, i want your love. i feel.feel your love. i feel.feel your love. our love is getting stronger. i can see it in my dreams. it's all i ever wanted. now i know that it's for real. after all this time i'm feeling, you're the one who's always, there for me. after all this time i'm feeling, the passion's burning deep inside of me. i love you, i love you. i love you. i love you. i feel.feel your love. i feel.feel your love. you set my soul on fire. when i'm with you i have no fear. you're all i ever needed. it feels so right when you are near."
"ian van dahl","https://www.azlyrics.com/i/ianvandahl.html","satisfy me","https://www.azlyrics.com/lyrics/ianvandahl/satisfyme.html","you always know just what to do, you satisfy me, you always know just what to say, you satisfy me, before you i was blind, you opened up my mind, when i'm with you it feels so right, you satisfy me, when i'm with you i feel so save, you satisfy me, from now on you'll be mine, untill the end of time, don't need no words, to know that you're mine, i see your face.you make me smile, when i'm with you i feel so high, don't need no words, to know that you're mine, i see your face.you make me smile, when i'm with you i feel so high, you'll always be the only one, you satisfy me, you'll always be the one i love, you satisfy me, before you i was blind, you opened up my mind, and every day i want you more, you satisfy me, and every night i need your touch, you satisfy me, from now on you'll be mine, untill the end of time, ]"
"ian van dahl","https://www.azlyrics.com/i/ianvandahl.html","will i?","https://www.azlyrics.com/lyrics/ianvandahl/willi.html","will i ever love you again?, will we be together again?, thought the love we had was strong. and tell me what's on. where did we go wrong?, will i. will i. will i. will i. will i. will i. will i ever love you again?, will we be together again?, thought the love we had was strong. and tell me what's on. where did we go wrong?, will i ever love you again?, will we be together again?, thought the love we had was strong. and tell me what's on. where did we go wrong?"
