"ARTIST_NAME","ARTIST_URL","SONG_NAME","SONG_URL","LYRICS"
"v","https://www.azlyrics.com/v/v.html","blood sweat & tears","https://www.azlyrics.com/lyrics/v/bloodsweattears.html","if you say, that you don't want me, thats ok, i'm gonna get ya anyway, if you think, you can avoid me, that's alright, cos i don't mind a little fight. word is out, that your'e not gettin' served, the way that both of us know you deserve, there's no doubt, that i know what you need, if you wanna come just come with me. i am just a guy, you are just a girl, all i know is i just wanna rock world, and all i have to say, i hope that its ok, gonna be blood,sweat n tears, gonna be hard work n fears, but i aint gonna stop no never stop till i got you, gonna be sunshine n rain, gonna be pleasure n pain, but i aint gonna stop no never stop till i got you. listen up, please believe me, when i claim to be the lover that you want, check this out, i got a feelin', that it's gonna be you and me, you know i'm right, you are jus a girl, and i am just a guy, who does appreciate the finer things in life, and this i swear to you, every word is true,"
"v","https://www.azlyrics.com/v/v.html","hold me","https://www.azlyrics.com/lyrics/v/holdme.html","sometimes i feel like another brick in the wall, it's just your attitude that makes no sense at all, and i want you, want you, want you, can't you see i got no inhibitions about you getting with me, just hear me out, babe, hear where i'm at, just wanna be with you, what's wrong with that?, you had it, all the truth, girl, it's there for all to see, it's right before your eyes, girl, so baby won't ya, hold me, day and night, yeah, yeah, love me, day and night, i need your love, woah, yeah, i need your love, i need, i need your love, alright, just stop the talking, it's all we do, you gotta understand just what i'm going through, and i want you, want you, want you, can't you see it's my ambition, baby, to have you here with me, you know, i'm gonna do things to you, don't be shy, don't worry, we'll take it slowly, oh yeah, let you get to know me, oh baby won't you, hold me, day and night, love me, day and night, i need your love, i need your love, i need, i need your love, alright, hold me, day and night, love me, day and night, i need your love, i need your love, i need, i need your love, alright, as soon as i saw you, i knew, things were gonna change, ooh yeah, feeling so confused, what do i have to do to get the message through?, i need, i need your love, i need, i need your love, hold me, day and night, love me, day and night, i need your love, woah, yeah, i need your love, i need, i need your love, hold me, day and night, love me, day and night, i need your love, woah, yeah, i need your love, i need, i need your love, i need your love, i need, i need your love, i need your love, so why don't you hold me?"
"v","https://www.azlyrics.com/v/v.html","you stood up","https://www.azlyrics.com/lyrics/v/youstoodup.html","so i figure i'm alone now, alienated everyone, a lot of my moves are wrong, but i didn't know you wouldn't be here to tell me, you saw three moves ahead, and all you said was rememeber loving me remember letting go, so i figure i know, you stood up and stole it, cuz you never wanted me, you admit you don't feel it, that you stood up and stole it from me, why stand up and steal it?, if you never wanted me, admit you don't feel it, and give it all back to me, so i've guess i've gotta stay strong, after a lot of scavagtage, i've got no one's ego to myself, but i didn't say that you'd be laughing someway, it already moved ahead i lost my trend, and thats what was me, i remember letting go, so i know i don't know, you stood up and stole it, cuz you never wanted me, you admit you don't feel it, that you stood up and stole it from me, why stand up and steal it?, if you never wanted me, admit you don't feel it, and give it all back to me, and give it all back to me, you stood up and stole it, cuz you never wanted me, you admit you don't feel it, that you stood up and stole it from me, why stand up and steal it?, if you never wanted me, admit you don't feel it, and give it all back to me, and give it all back to me"
"vulfpeck","https://www.azlyrics.com/v/vulfpeck.html","wait for the moment","https://www.azlyrics.com/lyrics/vulfpeck/waitforthemoment.html","mom said: "wait for the moment!", gone home went to bed, while the other kids, they're still outside, i don't feel time when i sleep, so i snuggle up with my sheet, and wait, for a brighter day, i'll play football tomorrow, with only my best friends, people i like, but i don't love, are not allowed, i wonder if sharon will see me, but i'll play cool, cause cool is what you have to do, it's hard to make a point, when you're living so loud, trying to get my friend excited, about not being invited, i say: "that's an opportunity!", butt dial i smile, listen dial i smile, it was so nice to get a call, sharon, i'm good at stuff, and you're into stuff, let's make products, i'm a product guy, you're a produce girl, i said money, money, money, money, money, money will be spent, i'm attuned to the grooves, that turn you off, bass man, break it down!"
"vulfpeck","https://www.azlyrics.com/v/vulfpeck.html","1612","https://www.azlyrics.com/lyrics/vulfpeck/1612.html","it's a tzimmes, but you need to t'set it, sometimes i write a little song, so you don't forget it, sometimes i write a little song, to remember the lyrics, 1612, that's the code to my heart, one six, one two, star, aquarion, ford taurus, a strike on the box, ford focus, roberta flack donny hathaway, frank sinatra, 1612, that's the code to my heart, one six, one two, star -, 1612, that's the code to my heart, one six, one two, star, peace of mind, oh, friend of mine, 1612, that's the code to my heart, i go, one six, one two, star, i go, 1612, ithat's the code to my heart, one six, one two, star, igo, 1612, that's the code to my heart, i go, one six, one two, star, 1612, that's the code to my heart, i go, one six, one two. star, 1612, that's the code to my heart, one six, one two, star, 1612, that's the code to my heart, one six, one two, star, 1612, is the key, the key. 1612, that's the code to my heart, you better never ever forget it."
"v","https://www.azlyrics.com/v/v.html","walk on","https://www.azlyrics.com/lyrics/v/walkon.html",", girl was the type you have dreams about on sunday afternoon, the kinda girl you see stopping traffic down town on a sunny day in june, it wouldn't be right if i didn't pull up to tell her she looked good, 'hey ma you know that your looking kinda fine, maybe you and i should?', hook up, go out, a few drinks, get down, you know we could have a lot of fun tonight, come out with me, be straight, don't play, it's alright, just say, i ain't getting down with another mans girl, so baby please, if you got a man don't lead me on, if you got a man don't crowd my phone, if you got a man and say you don't, find somebody else, walk on, if you got a man don't lead me on, if you got a man don't crowd my phone, if you got a man and say you don't, find somebody else, walk on, to my surprise you was fast to say 'your kinda cute', she got into my ride, i put it in drive and said 'i'm gonna take care of you', she was free for the night with nothing to do even said the time and place, almost felt too good to be true when i heard my girl say, hook up, go out, a few drinks, get down, you know we can have a lot of fun tonight, come out with me, be straight, don't play, it's alright, just say, i ain't getting down with another man's girl, oh baby please, if you got a man don't lead me on, if you got a man don't crowd my phone, if you got a man and say you don't, find somebody else, walk on, if you got a man don't lead me on, if you got a man don't crowd my phone, if you got a man and say you don't, find somebody else, walk on, just pick up yourself and baby, walk on, no time for your games so baby, walk on, put on your shoes and baby, walk on, if you think your gonna play me, walk on, just pick up yourself and baby, walk on, no time for your games so baby, walk on, put on your shoes and baby, walk on, if you think your gonna play me, if you got a man don't lead me on, if you got a man don't crowd my phone, if you got a man and say you don't, find somebody else, walk on, if you got a man don't lead me on, if you got a man don't crowd my phone, if you got a man and say you don't, find somebody else, walk on, if you got a man don't lead me on, if you got a man don't crowd my phone, if you got a man and say you don't, find somebody else, walk on, if you got a man don't lead me on, if you got a man don't crowd my phone, if you got a man and say you don't, find somebody else, walk on, if you got a man don't lead me on, if you got a man don't crowd my phone, if you got a man and say you don't, find somebody else, walk on, if you got a man don't lead me on, if you got a man don't crowd my phone, if you got a man and say you don't, find somebody else, walk on,"
"v","https://www.azlyrics.com/v/v.html","stop the tears","https://www.azlyrics.com/lyrics/v/stopthetears.html","you broken hurting, your life is torn in two, you're searching for an answer, for the way he treated you, but i feel if it was me by your side, there'd be no pain 'cause you'd be alright, i'll wipe the tears from your eyes, baby don't cry 'cause you know i'll be there to stop the tears from falling, need someone around then girl, i swear, i hope it's me you're calling, i'll be the sun after the storm, wrapped in my arms forever more, baby don't cry 'cause you know that i'm here to stop your tears from falling, don't cry, realise, your soul will heal in time, attention, some affection, is what you need to find, i feel i gotta let you know, that i'll give you love, a real kind of love, 'cause seeing you like this hurts so much, baby don't cry 'cause you know i'll be there to stop the tears from falling, need someone around then girl, i swear, i hope it's me you're calling, i'll be the sun after the storm, wrapped in my arms forever more, baby don't cry 'cause you know that i'm here to stop your tears from falling, if you're lost in the cold, nowhere to go, baby hold on, i'll guide you home, free from the pain, happy again, but until then, oh, baby don't cry 'cause you know i'll be there to stop the tears from falling, need someone around then girl, i swear, i hope it's me you're calling, i'll be the sun after the storm, wrapped in my arms forever more, baby don't cry 'cause you know that i'm here to stop your tears from falling, baby don't cry 'cause you know i'll be there to stop the tears from falling, need someone around then girl, i swear, i hope it's me you're calling, i'll be the sun after the storm, wrapped in my arms forever more, baby don't cry 'cause you know that i'm here to stop your tears from falling, oh yeah, stop your tears from falling"
"v","https://www.azlyrics.com/v/v.html","hip to hip","https://www.azlyrics.com/lyrics/v/hiptohip.html","when lady luck has got me down with her high-speed attitude, i'm-a feeling kinda high i'm-a feeling kinda low, i feel so, i dunno like fast food, someone spiked my latte and i'm just not in the mood, need a little bit of this, need a little bit of that, some chit chat and that's why i'm the dude, i got a feeling, something's wrong, i dial your number, and then it's gone, i got a feeling, something's whack, before i count to three, you're here with me before the blues attack, hip, hip to hip, cheek, cheek to cheek, without you girl the future's bleak, hip, hip to hip, cheek, cheek to cheek, i want you by my side, hip, hip to hip, cheek, cheek to cheek, you got a day, it's like the week, hip, hip to hip, cheek, cheek to cheek, i'm feeling good inside, when lady luck is dressed in black, and i'm dancing in my shoes, tryna pull me to the left tryna pull me to the right, i just might, sit tight stay in my groove, i'm tired of people on my back, making offers i can't refuse, i know that they believe i'm on my knees, but i know i won't ever leave yeah, i got a feeling, something's wrong, i dial your number, and then it's gone, i got a feeling, something's whack, before i count to three, you're here with me before the blues attack, hip, hip to hip, cheek, cheek to cheek, without you girl the future's bleak, hip, hip to hip, cheek, cheek to cheek, i want you by my side, hip, hip to hip, cheek, cheek to cheek, you got a day, it's like the week, hip, hip to hip, cheek, cheek to cheek, i'm feeling good inside, twist it, nation, meet the generation, we don't need no education, the rhythm that you're giving me is changing my life, and baby if you said "jump" i'd say "how high", no dealing, stealing, only free-wheeling, you're giving a religion for me to believe in, so rock me, shock me any way you know, but i guess i kinda like the status quo, i got a feeling, something's wrong, i dial your number, and then it's gone, i got a feeling, something's whack, before i count to three, you're here with me before the blues attack, hip, hip to hip, cheek, cheek to cheek, without you girl the future's bleak, hip, hip to hip, cheek, cheek to cheek, i want you by my side, hip, hip to hip, cheek, cheek to cheek, you got a day, it's like the week, hip, hip to hip, cheek, cheek to cheek, i'm feeling good inside"
"v","https://www.azlyrics.com/v/v.html","can you feel it?","https://www.azlyrics.com/lyrics/v/canyoufeelit.html","can you feel it, can you feel it, can you feel it!, if you look around, the whole world's coming together now yeah, can you feel it, can you feel it, can you feel it!, feel it in the air, the wind is taking it everywhere yeah, can you feel it, can you feel it, can you feel it!, all the brothers of the world should be, lovin' each other wholeheartedly. yes it's alright, take my message to your brother and tell him twice uh huh, spread the word who tried to teach the man who is hatin' his brother, when hate won't do, 'cause we're all the same, yes the blood inside of me is inside of you c'mon, now tell me!, can you feel it, can you feel it, can you feel it!, can you see what's going down, you can fill it in your bones, every breath you take, is someone's death in another place yeah, every healthy smile, is hunger and strife to another child yeah, but the stars do shine, and promising salvation is near this time. yeah yeah, can you feel it now, so brothers and sisters, shall we know how. now tell me!, can you feel it, tell me can you feel it, can you feel it!, can you see what's going down, you can fill it in your bones, all the children of the world should be, lovin' each other wholeheartedly, yes it's alright, take my message to your brother and tell him twice uh huh, take the news to the marchin' men, who are killin' their brothers, when death won't do no no, yes we're all the same, yes the blood inside my veins is inside of you yeah yeah yeah yeah, now tell me!, can you feel it, can you feel it, can you feel it!, can you feel it, can you feel it, can you feel it!, can you feel it, can you feel it, can you feel it!, can you feel it, can you feel it, can you feel it!, can you feel it, can you feel it, can you feel it!, can you feel it, can you feel it, can you feel it!"
"v","https://www.azlyrics.com/v/v.html","chills in the evening","https://www.azlyrics.com/lyrics/v/chillsintheevening.html","being with you was all that i needed, and i don't know why you were too blind to see it, now you're gone, and i need you here tonight. you know that i can't sleep cos i'm terrified, feels like i'm fallin' down really fast inside. and i'm wishin' the night away, these chills in the evening - they won't go away. and sometimes i feel like i can't go on living, there's not much to take when you've done all the giving, and now you're gone, and i need you here tonight. you know that i can't sleep cos i'm terrified, feels like i'm fallin' down really fast inside. and i'm wishin' the night away, these chills in the evening - they won't go away. and now i need to find a way, to stop this pain from getting stronger, and i just can't explain, i don't understand, why you left me here. you know that i can't sleep cos i'm terrified, feels like i'm fallin' down really fast inside, and i'm wishin' the night away, these chills in the evening - they won't go away. you know that i can't sleep cos i'm terrified, feels like i'm fallin' down really fast inside. and i'm wishin' the night away, these chills in the evening - they won't go away. they won't go away."
